CO_CURSO,NO_CURSO,MODALIDADE,TURNO,CENTRO,DURACAO
121706.0,CIÊNCIAS BIOLÓGICAS: BIOFÍSICA,Bacharelado,INTEGRAL,CAXIAS,4.0
1114292.0,CIÊNCIAS BIOLÓGICAS: BIOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4.0
1114291.0,NANOTECNOLOGIA,Bacharelado,INTEGRAL,CAXIAS,4.0
14365.0,ADMINISTRAÇÃO,Bacharelado,INTEGRAL,CCJE,5.0
99321.0,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4.0
1125885.0,BIBLIOTECONOMIA E GESTÃO DE UNIDADES DE INFORMAÇÃO,Bacharelado,INTEGRAL,CCJE,4.0
14364.0,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5.0
1125881.0,CIÊNCIAS CONTÁBEIS,Bacharelado,INTEGRAL,CCJE,5.0
14366.0,CIÊNCIAS ECONÔMICAS,Bacharelado,INTEGRAL,CCJE,4.0
1114299.0,DEFESA E GESTÃO ESTRATÉGICA INTERNACIONAL,Bacharelado,NOTURNO,CCJE,4.0
14363.0,DIREITO,Bacharelado,INTEGRAL,CCJE,5.0
1114296.0,GESTÃO PÚBLICA PARA O DESENVOLVIMENTO ECONÔMICO E SOCIAL,Bacharelado,INTEGRAL,CCJE,4.0
116840.0,RELAÇÕES INTERNACIONAIS,Bacharelado,NOTURNO,CCJE,4.0
14324.0,ASTRONOMIA,Bacharelado,INTEGRAL,CCMN,4.0
85783.0,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,INTEGRAL,CCMN,5.0
14331.0,CIÊNCIAS ATUARIAIS,Bacharelado,INTEGRAL,CCMN,4.0
116844.0,CIÊNCIAS MATEMÁTICAS E DA TERRA,Bacharelado,INTEGRAL,CCMN,3.0
14330.0,ESTATÍSTICA,Bacharelado,INTEGRAL,CCMN,4.0
14323.0,FÍSICA,Bacharelado,INTEGRAL,CCMN,4.0
44363.0,FÍSICA,Licenciatura,NOTURNO,CCMN,5.0
29307.0,FÍSICA MÉDICA,Bacharelado,INTEGRAL,CCMN,4.0
14326.0,GEOGRAFIA,Licenciatura,NOTURNO,CCMN,4.0
314326.0,GEOGRAFIA,Bacharelado,INTEGRAL,CCMN,4.0
14327.0,GEOLOGIA,Bacharelado,INTEGRAL,CCMN,5.0
